0,1,2,Diff,3,Diff,4,Diff,5,Diff,6,Diff,7,Diff,8,Diff,9,Diff,10,Diff,11,Diff,12,Diff,13,Diff,14,Diff
CC#[C],125.87,128.44,2.57,126.6828774,0.812877418,126.6946667,0.824666667,126.7746241,0.904624119,126.6428076,0.772807627,126.7064316,0.836431617,126.7787993,0.908799273,126.7132451,0.843245059,126.5586667,0.688666667,126.7656577,0.895657711,126.8200424,0.95004236,126.6797756,0.809775644,126.666,0.796
CC(C)=C,-4.1,-1.83,2.27,-3.985162184,0.114837816,-4.052758621,0.047241379,-3.985682525,0.114317475,-4.054,0.046,-3.946929966,0.153070034,-3.86765295,0.23234705,-4.008208588,0.091791412,-4.038365807,0.061634193,-4.046867445,0.053132555,-3.990333333,0.109666667,-4.086053944,0.013946056,-4.075679493,0.024320507
CC(C)C,-32.21,-30.17,2.04,-32.10538751,0.104612487,-32.0878125,0.1221875,-32.04380139,0.166198614,-32.0818281,0.128171898,-32.13221252,0.077787475,-32.01355746,0.19644254,-32.15923498,0.050765016,-32.3290625,0.1190625,-32.20087088,0.009129123,-32.15774194,0.052258065,-32.34585076,0.135850763,-32.23032258,0.020322581
CC(C)CC(C)(C)C,-53.47,-49.63,3.84,-54.00492529,0.534925287,-53.97285714,0.502857143,-54.08579533,0.615795326,-53.92857143,0.458571429,-53.94724138,0.477241379,-54.18166667,0.711666667,-53.95230769,0.482307692,-53.76285714,0.292857143,-53.94241379,0.472413793,-54.07166667,0.601666667,-53.80659498,0.336594979,-53.67142857,0.201428571
CC1=CC=CC=C1,12.01,14.4,2.39,11.56728049,0.442719514,11.515,0.495,11.49167071,0.518329286,11.7575,0.2525,11.52871419,0.481285805,11.48,0.53,11.51663257,0.493367425,11.71,0.3,11.5224513,0.487548699,11.885,0.125,11.54799468,0.462005319,11.9225,0.0875
CC1CC1,5.81,8.08,2.27,5.550973016,0.259026984,5.693939971,0.116060029,5.768032156,0.041967844,5.7048,0.1052,5.634951376,0.175048624,5.4036,0.4064,5.67928633,0.13071367,5.686,0.124,5.871964172,0.061964172,5.66,0.15,5.750384752,0.059615248,5.638076923,0.171923077
CC=C,4.78,6.45,1.67,4.650915605,0.129084395,4.657428571,0.122571429,4.726365396,0.053634604,4.73,0.05,4.90723658,0.12723658,5.226823057,0.446823057,4.877950659,0.097950659,4.538235294,0.241764706,4.8403809,0.0603809,5.230548297,0.450548297,4.691363257,0.088636743,4.932424242,0.152424242
CCC,-25.1,-23.68,1.42,-25.22707839,0.127078388,-25.20866667,0.108666667,-25.27861593,0.17861593,-25.21896552,0.118965517,-25.27308151,0.173081515,-25.18990126,0.089901264,-25.1058758,0.005875797,-25.32766667,0.227666667,-25.20974613,0.109746125,-25.20748747,0.107487471,-25.24661603,0.146616033,-25.07241379,0.027586207
CCC(C)C,-36.63,-34.08,2.55,-36.74352464,0.113524636,-36.7328,0.1028,-36.68764274,0.057642741,-36.76446003,0.134460029,-36.8435302,0.213530202,-36.79121157,0.161211567,-36.62585194,0.004148059,-36.5668,0.0632,-37.01027085,0.380270853,-36.79576923,0.165769231,-36.89024589,0.260245894,-36.7332,0.1032
CCC=C,-0.02,2.38,2.4,0.21280022,0.23280022,0.103793103,0.123793103,0.090844259,0.110844259,0.170333333,0.190333333,0.115285382,0.135285382,0.033333333,0.053333333,0.203981078,0.223981078,0.159645994,0.179645994,0.129371161,0.149371161,0.289310345,0.309310345,0.071601267,0.091601267,0.135,0.155
